tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561947030.0,1,50.92885,6.93972,10.0,772526.0966478966,6608717.748446342
1561947032.0,0,50.97036,6.9652,11.0,775362.5172733092,6616052.423659042
1561947034.0,4,50.96961,6.9866,7.0,777744.7543762851,6615919.84309269
1561947040.0,1,50.92883,6.93966,10.0,772519.417478449,6608714.216092796
1561947040.0,3,50.94526,6.94259,11.0,772845.5835864731,6611616.556556286
1561947041.0,4,50.96966,6.98698,7.0,777787.0557827866,6615928.681730512
1561947043.0,0,50.97038,6.96521,11.0,775363.6304682171,6616055.959170118
1561947048.0,4,50.96961,6.98738,7.0,777831.5835791038,6615919.84309269
1561947050.0,1,50.92885,6.93957,10.0,772509.3987242774,6608717.748446342
1561947051.0,3,50.94519,6.94248,11.0,772833.3384424858,6611604.188961876
1561947054.0,0,50.97049,6.96542,11.0,775387.0075612835,6616075.4045082405
1561947055.0,4,50.9696,6.98773,7.0,777870.5454008816,6615918.075366269
1561947060.0,1,50.92883,6.93948,10.0,772499.379970106,6608714.216092796
1561947062.0,3,50.94459,6.94191,11.0,772769.8863327337,6611498.181773685
1561947062.0,4,50.96963,6.98814,7.0,777916.1863921067,6615923.378546677
1561947065.0,0,50.97073,6.96521,11.0,775363.6304682171,6616117.8308603745
1561947069.0,4,50.96901,6.98836,7.0,777940.6766800813,6615813.780180983
1561947070.0,1,50.92877,6.93854,10.0,772394.7396487604,6608703.619041273
1561947073.0,3,50.94454,6.94189,11.0,772767.6599429178,6611489.347903092
1561947076.0,0,50.97083,6.9652,11.0,775362.5172733092,6616135.508571802
1561947076.0,4,50.96896,6.98841,7.0,777946.242654621,6615804.941666854
1561947080.0,1,50.92866,6.93762,10.0,772292.3257172306,6608684.191148981
1561947083.0,4,50.96804,6.98872,7.0,777980.7516967668,6615642.314704913
1561947084.0,3,50.94387,6.94127,11.0,772698.641858626,6611370.974953809
1561947087.0,0,50.97109,6.96521,11.0,775363.6304682171,6616181.470799632
1561947090.0,1,50.92857,6.93691,10.0,772213.2888787674,6608668.295634915
1561947090.0,4,50.96768,6.9889,7.0,778000.7892051097,6615578.678944431
1561947095.0,3,50.94318,6.94059,11.0,772622.9446048866,6611249.070266728
1561947097.0,4,50.96733,6.98915,7.0,778028.619077808,6615516.81131679
1561947098.0,0,50.9711,6.96546,11.0,775391.4603409154,6616183.238582767
1561947100.0,1,50.92855,6.93655,10.0,772173.2138620818,6608664.763302631
1561947104.0,4,50.96723,6.98924,7.0,778038.6378319793,6615499.134937367
1561947106.0,3,50.94312,6.9405,11.0,772612.9258507153,6611238.469944662
1561947109.0,0,50.97108,6.96619,11.0,775472.7235691944,6616179.703016882
1561947110.0,1,50.92855,6.93645,10.0,772162.0819130024,6608664.763302631
1561947111.0,4,50.96717,6.98914,7.0,778027.5058829,6615488.529127981
1561947117.0,3,50.94306,6.94044,11.0,772606.2466812676,6611227.869636272
1561947118.0,4,50.96706,6.98921,7.0,778035.2982472555,6615469.085179684
1561947120.0,0,50.97113,6.96709,11.0,775572.9111109084,6616188.541934444
1561947120.0,1,50.92859,6.93632,10.0,772147.6103791994,6608671.827968716
1561947120.0,5,50.9227,6.96167,13.0,774969.5594708088,6607631.62129505
1561947125.0,4,50.96693,6.98927,7.0,778041.9774167031,6615446.106027429
1561947128.0,3,50.943,6.94039,11.0,772600.6807067279,6611217.269341562
1561947130.0,1,50.92835,6.93598,10.0,772109.7617523295,6608629.440063337
1561947131.0,0,50.97115,6.96805,11.0,775679.7778220699,6616192.077504134
1561947132.0,4,50.96664,6.98946,7.0,778063.1281199539,6615394.845073361
1561947133.0,5,50.92329,6.96161,13.0,774962.8803013613,6607735.8126327135
1561947139.0,3,50.94286,6.94034,11.0,772595.1147321883,6611192.53537378
1561947139.0,4,50.96644,6.98964,7.0,778083.1656282967,6615359.4928777
1561947140.0,1,50.92807,6.93553,10.0,772059.6679814727,6608579.987783473
1561947142.0,0,50.97136,6.96804,11.0,775678.6646271619,6616229.20107779
1561947146.0,4,50.96629,6.98982,7.0,778103.2031366394,6615332.9788308395
1561947146.0,5,50.92329,6.96156,13.0,774957.3143268216,6607735.8126327135
1561947150.0,1,50.92791,6.93521,10.0,772024.0457444187,6608551.729471487
1561947150.0,3,50.94279,6.94035,11.0,772596.2279270962,6611180.168417819
1561947153.0,0,50.97181,6.96806,11.0,775680.8910169778,6616308.752157998
